time,open,high,low,close,Volume,Volume
1612951200,1963.69,1987.4,1935.46,1963.6,520894,925048.8
1612958400,1958.17,1958.17,1832.61,1900.85,3420941,1026984.1
1612965600,1898.62,1920.03,1823.56,1863.81,2898421,1128663.35
1612972800,1864.25,1900.97,1837.4,1887.29,1003088,1115960.3
1612980000,1886.65,1898,1867.34,1894.07,570451,1106982.25
1612987200,1894.07,1895.77,1850,1875.19,645027,1113965.8
1612994400,1873.84,1915.99,1870.93,1895.95,574715,1109105.5
1613001600,1896.21,1903.11,1847.7,1855.32,672190,1050274.5
1613008800,1855.31,1909.44,1855.31,1898.91,242388,984292.7
1613016000,1900,1905.7,1865.29,1869.08,645154,944842.85
1613023200,1869.18,1902.96,1869.18,1890.86,488988,939563.1
1613030400,1892.47,1926,1883.32,1924.24,445299,909175.2
1613037600,1923.92,1951.56,1918.48,1922.17,791962,924251.15
1613044800,1922.17,1987,1922.17,1953.87,1141759,919697.35
1613052000,1953.7,1976.95,1945.96,1972.09,952753,952327
1613059200,1972.65,1985,1945.66,1946.14,506645,950052.8
1613066400,1943.87,1969.1,1938.04,1958.43,414408,920638.55
1613073600,1958.22,1983.82,1920.54,1932.19,569670,902162.65
1613080800,1931.56,1958.24,1930.74,1955.97,444050,902309.25
1613088000,1956.67,1985.54,1956,1964.95,573543,876117.3
1613095200,1964.22,1967.95,1936,1938.12,713833,885764.25
1613102400,1937.17,1937.17,1902.71,1927.16,1027974,766115.9
1613109600,1925.75,1938,1908.68,1934.57,423079,642348.8
1613116800,1933.45,1943.87,1914.16,1933.82,369712,610680
1613124000,1935.67,1957.5,1933.28,1951.14,399432,602129.05
1613131200,1951.82,1975.95,1940.82,1968.47,606473,600201.35
1613138400,1970.41,1978.67,1909.3,1958.74,1397339,641332.55
1613145600,1959.02,2041.75,1951.7,2034.98,2052543,710350.2
1613152800,2035.2,2044,1995,2021.57,1491144,772788
1613160000,2023,2049,2023,2034.96,798450,780452.8
1613167200,2035.92,2056.61,2013,2025.9,582136,785110.2
1613174400,2026.3,2065,2026.3,2049.85,513925,788541.5
1613181600,2049.85,2071.62,2039.21,2063.03,557555,776821.15
1613188800,2062.37,2066.07,2032.02,2046.25,465996,743033
1613196000,2046.29,2048.13,1981.69,1984.49,1104073,750599
1613203200,1984.45,2020.51,1968,2009.84,606538,755593.65
1613210400,2008.08,2008.08,1921.99,1941.48,2037834,836764.95
1613217600,1942.41,1981.7,1921.76,1975.08,790241,847793.5
1613224800,1973.02,2001.73,1956.36,1993.61,630136,857097.8
1613232000,1994.27,2001.48,1946.46,1959.84,675859,862213.6
1613239200,1958.94,1980.87,1949.67,1965.64,303837,841713.8
1613246400,1963.54,1992.33,1953.73,1985.21,361900,808410.1
1613253600,1985.59,2000.42,1976.03,1992.55,173733,795942.8
1613260800,1992.71,2026.45,1981.61,2015.57,355852,795249.8
1613268000,2018.94,2030.71,1981.05,1983.75,500814,800318.9
1613275200,1985.18,2033.97,1972.74,2029.9,346313,787310.9
1613282400,2033.96,2046.56,2022.34,2027.73,817991,758343.5
1613289600,2028.15,2040.21,2015.65,2034.46,323579,671895.3
1613296800,2033.99,2044.85,2018.86,2026.52,220729,608374.55
1613304000,2025.9,2045.74,1981.36,1991.12,728163,604860.2
1613311200,1991.47,2005.91,1960,1976.07,920474,621777.1
1613318400,1976.27,1995.02,1965.07,1980.4,409979,616579.8
1613325600,1979.86,1989.39,1972.01,1982.71,327770,605090.55
1613332800,1981.44,2006.71,1976.29,2006.2,248091,594195.3
1613340000,2004.93,2013.04,1976.63,1977.75,179700,547976.65
1613347200,1977.43,1990.37,1884.85,1908.84,1013872,568343.35
1613354400,1907.63,1915.57,1780,1880.09,3792684,656085.85
1613361600,1880.09,1884.35,1828.14,1871.97,1992337,716190.65
1613368800,1871.61,1913.4,1870.79,1903.21,668521,718109.9
1613376000,1903.09,1931.27,1895.34,1919.53,664018,717517.85
1613383200,1921.14,1959.88,1910.08,1947.73,402573,722454.65
1613390400,1950.02,1986.82,1939.59,1975.9,687623,738740.8
1613397600,1976.17,1987.75,1951.09,1985.31,512766,755692.45
1613404800,1985.79,2016,1985.79,1994.88,713889,773594.3
1613412000,1996.6,2006.34,1981.87,2003.13,506026,773854.9
1613419200,2003.41,2016.14,1960.26,1962.25,431925,778135.5
1613426400,1962.89,1984.44,1931.2,1949.54,770592,775765.55
1613433600,1951.09,1978.1,1901.2,1977.2,2556589,887416.05
1613440800,1977.02,2021.58,1969.4,2014.97,728668,912813
1613448000,2012.47,2023.66,1995.01,2003.17,624176,907613.65
1613455200,2003.07,2004.39,1966.5,1987.73,480797,885629.8
1613462400,1987.94,2000.44,1980.62,1992.6,361799,883220.8
1613469600,1991.25,1994.78,1956.43,1958.9,788390,906251.8
1613476800,1958.34,2028.46,1942.04,1950.14,2132495,1000472
1613484000,1950.23,1968.59,1926.31,1944.48,930592,1038016.6
1613491200,1945.03,1954.25,1901.07,1912.73,1034100,1039028
1613498400,1912.79,1922.74,1876.98,1914.13,844411,891614.35
1613505600,1910.97,1912.61,1884.14,1909.83,277600,805877.5
1613512800,1909.85,1950.45,1904.64,1948.04,241483,784525.6
1613520000,1947.67,1952.34,1925.64,1928.75,704397,786544.55
1613527200,1928.22,1955.76,1910,1924.36,656333,799232.55
1613534400,1924.37,1934.72,1898.48,1912.88,356812,782692
1613541600,1913.88,2003.05,1909.46,2000.65,1244859,819296.65
1613548800,2000.57,2020,1978.17,2011.71,995815,833392.95
1613556000,2011.62,2024.66,1999.04,2006.92,838354,850009.35
1613563200,2006.86,2054,2001.02,2023.65,1895804,923203.3
1613570400,2023.54,2028.36,2000.11,2006.94,949644,932155.9
1613577600,2007.16,2024.05,1986.63,2011.89,517797,830216.3
1613584800,2011.95,2042.15,2006.1,2037.82,374517,812508.75
1613592000,2038.5,2052.56,2014.48,2052.03,826224,822611.15
1613599200,2051.54,2056.7,2022.09,2043.2,282439,812693.25
1613606400,2044.27,2132.88,2044.27,2119.68,1313699,860288.25
1613613600,2118.14,2132,2097.04,2102.92,950096,868373.55
1613620800,2102.26,2119.83,2088.29,2109.78,560311,789764.35
1613628000,2109.78,2121.03,2083.86,2110.91,1066070,796538.25
